areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate,newVirusTestsByPublishDate
E12000001,North East,region,29/03/2022,2958,18,28363
E12000001,North East,region,28/03/2022,8202,7,42383
E12000001,North East,region,27/03/2022,0,0,23106
E12000001,North East,region,26/03/2022,0,0,20852
E12000001,North East,region,25/03/2022,2714,5,26354
E12000001,North East,region,24/03/2022,3934,4,37382
E12000001,North East,region,23/03/2022,3767,4,30296
E12000001,North East,region,22/03/2022,2884,6,29340
E12000001,North East,region,21/03/2022,6823,4,47808
E12000001,North East,region,20/03/2022,0,0,21663
E12000001,North East,region,19/03/2022,0,0,19785
E12000001,North East,region,18/03/2022,2526,1,24969
E12000001,North East,region,17/03/2022,2752,4,37005
E12000001,North East,region,16/03/2022,2827,1,29040
E12000001,North East,region,15/03/2022,2232,11,27734
E12000001,North East,region,14/03/2022,5250,3,46907
E12000001,North East,region,13/03/2022,0,0,20385
E12000001,North East,region,12/03/2022,0,0,18015
E12000001,North East,region,11/03/2022,1483,5,22798
E12000001,North East,region,10/03/2022,1658,6,38272
E12000001,North East,region,09/03/2022,1610,5,24709
E12000001,North East,region,08/03/2022,1452,12,36376
E12000001,North East,region,07/03/2022,2825,6,26161
E12000001,North East,region,06/03/2022,0,0,17630
E12000001,North East,region,05/03/2022,0,0,15829
E12000001,North East,region,04/03/2022,1157,7,21734
E12000001,North East,region,03/03/2022,1033,5,33291
E12000001,North East,region,02/03/2022,1162,4,24756
E12000001,North East,region,01/03/2022,960,8,23864
E12000001,North East,region,28/02/2022,2092,4,45388
E12000001,North East,region,27/02/2022,0,0,18685
E12000001,North East,region,26/02/2022,0,0,16695
E12000001,North East,region,25/02/2022,801,3,21588
E12000001,North East,region,24/02/2022,930,4,35030
E12000001,North East,region,23/02/2022,968,15,25760
E12000001,North East,region,22/02/2022,915,13,24815
E12000001,North East,region,21/02/2022,834,0,52028
E12000001,North East,region,20/02/2022,889,2,21548
E12000001,North East,region,19/02/2022,1091,7,20901
E12000001,North East,region,18/02/2022,1330,11,27313
E12000001,North East,region,17/02/2022,1496,17,44268
E12000001,North East,region,16/02/2022,1531,15,35342
E12000001,North East,region,15/02/2022,1467,18,31792
E12000001,North East,region,14/02/2022,1282,0,60153
E12000001,North East,region,13/02/2022,1164,2,27596
E12000001,North East,region,12/02/2022,1417,14,24314
E12000001,North East,region,11/02/2022,1653,9,31887
E12000001,North East,region,10/02/2022,2055,11,49504
E12000001,North East,region,09/02/2022,2141,22,41815
E12000001,North East,region,08/02/2022,2211,21,37528
E12000001,North East,region,07/02/2022,1828,0,69818
E12000001,North East,region,06/02/2022,1793,2,33068
E12000001,North East,region,05/02/2022,2246,24,29727
E12000001,North East,region,04/02/2022,2806,17,37472
E12000001,North East,region,03/02/2022,3311,31,50502
E12000001,North East,region,02/02/2022,3582,50,49026
E12000001,North East,region,01/02/2022,4716,66,44509
E12000001,North East,region,31/01/2022,48651,1,68847
E12000001,North East,region,30/01/2022,2203,3,36960
E12000001,North East,region,29/01/2022,2818,17,34459
E12000001,North East,region,28/01/2022,3424,24,44186
E12000001,North East,region,27/01/2022,3860,18,62647
E12000001,North East,region,26/01/2022,4415,20,56600
E12000001,North East,region,25/01/2022,4234,50,50796
E12000001,North East,region,24/01/2022,3726,0,83128
E12000001,North East,region,23/01/2022,3545,1,46403
E12000001,North East,region,22/01/2022,3814,14,43161
E12000001,North East,region,21/01/2022,4847,22,51785
E12000001,North East,region,20/01/2022,5237,18,74354
E12000001,North East,region,19/01/2022,5903,12,65229
E12000001,North East,region,18/01/2022,5809,33,59844
E12000001,North East,region,17/01/2022,4397,2,61767
E12000001,North East,region,16/01/2022,4253,3,131152
E12000001,North East,region,15/01/2022,4874,19,2766
E12000001,North East,region,14/01/2022,5907,11,56599
E12000001,North East,region,13/01/2022,7450,9,64325
E12000001,North East,region,12/01/2022,9987,19,100595
E12000001,North East,region,11/01/2022,7634,18,77707
E12000001,North East,region,10/01/2022,8200,0,103673
E12000001,North East,region,09/01/2022,10167,2,66119
E12000001,North East,region,08/01/2022,7207,12,88909
E12000001,North East,region,07/01/2022,10162,12,76719
E12000001,North East,region,06/01/2022,9997,11,398992
E12000001,North East,region,05/01/2022,9909,14,96
E12000001,North East,region,04/01/2022,10252,0,224438
E12000001,North East,region,03/01/2022,7311,1,8
E12000001,North East,region,02/01/2022,7474,2,204
E12000001,North East,region,01/01/2022,10935,8,89
E12000001,North East,region,31/12/2021,6991,8,117623
E12000001,North East,region,30/12/2021,6250,10,181
E12000001,North East,region,29/12/2021,5247,0,107368
E12000001,North East,region,28/12/2021,4339,2,154401
E12000001,North East,region,27/12/2021,3190,7,5
E12000001,North East,region,26/12/2021,3505,0,30
E12000001,North East,region,25/12/2021,3356,0,63
E12000001,North East,region,24/12/2021,2942,10,365
E12000001,North East,region,23/12/2021,2795,10,127680
E12000001,North East,region,22/12/2021,2276,5,108020
E12000001,North East,region,21/12/2021,2322,8,287
E12000001,North East,region,20/12/2021,1702,1,612
E12000001,North East,region,19/12/2021,1502,2,167970
E12000001,North East,region,18/12/2021,1503,7,33
E12000001,North East,region,17/12/2021,2513,2,211
E12000001,North East,region,16/12/2021,1754,7,126956
E12000001,North East,region,15/12/2021,1760,6,183
E12000001,North East,region,14/12/2021,1391,12,91985
E12000001,North East,region,13/12/2021,1358,0,138185
E12000001,North East,region,12/12/2021,1212,1,-1
E12000001,North East,region,11/12/2021,1688,5,46
E12000001,North East,region,10/12/2021,2042,7,100871
E12000001,North East,region,09/12/2021,1496,4,78247
E12000001,North East,region,08/12/2021,1440,6,107
E12000001,North East,region,07/12/2021,1413,11,386
E12000001,North East,region,06/12/2021,1038,0,117906
E12000001,North East,region,05/12/2021,1437,1,5
E12000001,North East,region,04/12/2021,1489,6,150
E12000001,North East,region,03/12/2021,1691,10,88386
E12000001,North East,region,02/12/2021,1038,4,19
E12000001,North East,region,01/12/2021,1886,4,84
E12000001,North East,region,30/11/2021,1610,12,
E12000001,North East,region,29/11/2021,1358,0,
E12000001,North East,region,28/11/2021,1251,2,
E12000001,North East,region,27/11/2021,1209,8,
E12000001,North East,region,26/11/2021,1663,2,
E12000001,North East,region,25/11/2021,1112,5,
E12000001,North East,region,24/11/2021,1720,16,
E12000001,North East,region,23/11/2021,2146,9,
E12000001,North East,region,22/11/2021,1635,0,
E12000001,North East,region,21/11/2021,1255,2,
E12000001,North East,region,20/11/2021,1502,9,
E12000001,North East,region,19/11/2021,1556,4,
E12000001,North East,region,18/11/2021,1554,9,
E12000001,North East,region,17/11/2021,1501,5,
E12000001,North East,region,16/11/2021,1131,17,
E12000001,North East,region,15/11/2021,1385,1,
E12000001,North East,region,14/11/2021,1504,1,
E12000001,North East,region,13/11/2021,1481,14,
E12000001,North East,region,12/11/2021,1540,5,
E12000001,North East,region,11/11/2021,1558,13,
E12000001,North East,region,10/11/2021,1586,12,
E12000001,North East,region,09/11/2021,1566,17,
E12000001,North East,region,08/11/2021,1099,1,
E12000001,North East,region,07/11/2021,1222,1,
E12000001,North East,region,06/11/2021,1323,8,
E12000001,North East,region,05/11/2021,1672,9,
E12000001,North East,region,04/11/2021,1531,10,
E12000001,North East,region,03/11/2021,1616,18,
E12000001,North East,region,02/11/2021,1759,23,
E12000001,North East,region,01/11/2021,1819,0,
E12000001,North East,region,31/10/2021,1619,2,
E12000001,North East,region,30/10/2021,1923,8,
E12000001,North East,region,29/10/2021,2071,8,
E12000001,North East,region,28/10/2021,1884,8,
E12000001,North East,region,27/10/2021,2075,11,
E12000001,North East,region,26/10/2021,1850,12,
E12000001,North East,region,25/10/2021,1430,0,
E12000001,North East,region,24/10/2021,1610,2,
