areaCode,areaName,areaType,date,newCasesByPublishDate
E12000001,North East,region,20/07/2021,3001
E12000001,North East,region,19/07/2021,3159
E12000001,North East,region,18/07/2021,3889
E12000001,North East,region,17/07/2021,4454
E12000001,North East,region,16/07/2021,3959
E12000001,North East,region,15/07/2021,3697
E12000001,North East,region,14/07/2021,3447
E12000001,North East,region,13/07/2021,3413
E12000001,North East,region,12/07/2021,3012
E12000001,North East,region,11/07/2021,3726
E12000001,North East,region,10/07/2021,2918
E12000001,North East,region,09/07/2021,3261
E12000001,North East,region,08/07/2021,3305
E12000001,North East,region,07/07/2021,2999
E12000001,North East,region,06/07/2021,2842
E12000001,North East,region,05/07/2021,2511
E12000001,North East,region,04/07/2021,2298
E12000001,North East,region,03/07/2021,2469
E12000001,North East,region,02/07/2021,2238
E12000001,North East,region,01/07/2021,2496
E12000001,North East,region,30/06/2021,2392
E12000001,North East,region,29/06/2021,1439
E12000001,North East,region,28/06/2021,2005
E12000001,North East,region,27/06/2021,1162
E12000001,North East,region,26/06/2021,1417
E12000001,North East,region,25/06/2021,1172
E12000001,North East,region,24/06/2021,1108
E12000001,North East,region,23/06/2021,1095
E12000001,North East,region,22/06/2021,714
E12000001,North East,region,21/06/2021,848
E12000001,North East,region,20/06/2021,641
E12000001,North East,region,19/06/2021,742
E12000001,North East,region,18/06/2021,633
E12000001,North East,region,17/06/2021,647
E12000001,North East,region,16/06/2021,567
E12000001,North East,region,15/06/2021,518
E12000001,North East,region,14/06/2021,413
E12000001,North East,region,13/06/2021,301
E12000001,North East,region,12/06/2021,448
E12000001,North East,region,11/06/2021,315
E12000001,North East,region,10/06/2021,320
E12000001,North East,region,09/06/2021,302
E12000001,North East,region,08/06/2021,242
E12000001,North East,region,07/06/2021,210
E12000001,North East,region,06/06/2021,166
E12000001,North East,region,05/06/2021,239
E12000001,North East,region,04/06/2021,154
