areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate
E12000001,North East,region,15/05/2022,392,7,187,325
E12000001,North East,region,14/05/2022,280,5,286,271
E12000001,North East,region,13/05/2022,322,5,138,353
E12000001,North East,region,12/05/2022,332,6,122,330
E12000001,North East,region,11/05/2022,377,8,117,410
E12000001,North East,region,10/05/2022,474,3,114,270
E12000001,North East,region,09/05/2022,548,8,113,264
E12000001,North East,region,08/05/2022,387,7,228,401
E12000001,North East,region,07/05/2022,339,6,305,468
E12000001,North East,region,06/05/2022,406,7,182,471
E12000001,North East,region,05/05/2022,495,10,235,341
E12000001,North East,region,04/05/2022,582,9,199,374
E12000001,North East,region,03/05/2022,658,8,137,254
E12000001,North East,region,02/05/2022,607,7,82,99
E12000001,North East,region,01/05/2022,418,4,202,310
E12000001,North East,region,30/04/2022,408,5,340,348
E12000001,North East,region,29/04/2022,479,7,225,574
E12000001,North East,region,28/04/2022,540,12,166,261
E12000001,North East,region,27/04/2022,577,12,205,412
E12000001,North East,region,26/04/2022,656,13,179,312
E12000001,North East,region,25/04/2022,788,9,156,268
E12000001,North East,region,24/04/2022,782,3,256,390
E12000001,North East,region,23/04/2022,623,12,354,456
E12000001,North East,region,22/04/2022,750,7,355,668
E12000001,North East,region,21/04/2022,889,12,309,473
E12000001,North East,region,20/04/2022,951,8,259,612
E12000001,North East,region,19/04/2022,1132,6,257,353
E12000001,North East,region,18/04/2022,1112,9,97,175
E12000001,North East,region,17/04/2022,965,13,29,73
E12000001,North East,region,16/04/2022,953,19,271,447
E12000001,North East,region,15/04/2022,938,13,197,300
E12000001,North East,region,14/04/2022,1133,12,311,400
E12000001,North East,region,13/04/2022,1372,12,242,467
E12000001,North East,region,12/04/2022,1439,8,248,347
E12000001,North East,region,11/04/2022,1626,14,208,439
E12000001,North East,region,10/04/2022,1308,8,228,475
E12000001,North East,region,09/04/2022,1193,12,355,521
E12000001,North East,region,08/04/2022,1368,17,218,491
E12000001,North East,region,07/04/2022,1693,7,209,336
E12000001,North East,region,06/04/2022,1966,11,167,303
E12000001,North East,region,05/04/2022,2201,23,188,246
E12000001,North East,region,04/04/2022,2256,12,130,300
E12000001,North East,region,03/04/2022,1919,13,105,356
E12000001,North East,region,02/04/2022,1561,11,203,542
E12000001,North East,region,01/04/2022,2028,14,142,379
E12000001,North East,region,31/03/2022,2297,10,183,490
E12000001,North East,region,30/03/2022,3149,10,154,490
E12000001,North East,region,29/03/2022,3328,11,155,393
E12000001,North East,region,28/03/2022,3949,7,128,413
E12000001,North East,region,27/03/2022,2749,10,77,314
E12000001,North East,region,26/03/2022,2374,9,155,487
E12000001,North East,region,25/03/2022,2623,9,171,490
E12000001,North East,region,24/03/2022,3002,9,161,601
E12000001,North East,region,23/03/2022,3420,6,188,612
E12000001,North East,region,22/03/2022,3660,14,248,528
E12000001,North East,region,21/03/2022,3754,5,123,403
E12000001,North East,region,20/03/2022,2737,3,122,463
E12000001,North East,region,19/03/2022,2054,4,154,526
E12000001,North East,region,18/03/2022,2205,5,189,539
E12000001,North East,region,17/03/2022,2400,3,152,549
E12000001,North East,region,16/03/2022,2699,6,220,570
E12000001,North East,region,15/03/2022,2619,0,169,652
E12000001,North East,region,14/03/2022,2791,2,144,504
E12000001,North East,region,13/03/2022,1984,4,97,361
E12000001,North East,region,12/03/2022,1587,3,176,566
E12000001,North East,region,11/03/2022,1611,4,256,620
E12000001,North East,region,10/03/2022,1659,5,174,558
E12000001,North East,region,09/03/2022,1662,4,227,574
E12000001,North East,region,08/03/2022,1687,6,223,490
E12000001,North East,region,07/03/2022,1578,3,145,290
E12000001,North East,region,06/03/2022,1115,5,103,343
E12000001,North East,region,05/03/2022,762,4,178,583
E12000001,North East,region,04/03/2022,917,4,238,539
E12000001,North East,region,03/03/2022,1060,7,235,643
E12000001,North East,region,02/03/2022,1101,11,263,584
E12000001,North East,region,01/03/2022,1078,7,191,616
E12000001,North East,region,28/02/2022,1114,7,183,381
E12000001,North East,region,27/02/2022,801,9,150,383
E12000001,North East,region,26/02/2022,650,6,167,539
E12000001,North East,region,25/02/2022,684,6,310,593
E12000001,North East,region,24/02/2022,762,6,302,539
E12000001,North East,region,23/02/2022,933,4,271,630
E12000001,North East,region,22/02/2022,923,8,239,460
E12000001,North East,region,21/02/2022,1036,8,190,417
E12000001,North East,region,20/02/2022,836,13,121,354
E12000001,North East,region,19/02/2022,779,6,262,584
E12000001,North East,region,18/02/2022,990,8,239,696
E12000001,North East,region,17/02/2022,1243,6,308,973
E12000001,North East,region,16/02/2022,1479,11,392,954
E12000001,North East,region,15/02/2022,1473,11,359,851
E12000001,North East,region,14/02/2022,1651,14,282,710
E12000001,North East,region,13/02/2022,1274,14,199,539
E12000001,North East,region,12/02/2022,1103,9,348,764
E12000001,North East,region,11/02/2022,1375,9,397,923
E12000001,North East,region,10/02/2022,1521,13,395,1241
E12000001,North East,region,09/02/2022,1897,11,517,834
E12000001,North East,region,08/02/2022,2146,14,398,902
E12000001,North East,region,07/02/2022,2336,14,365,1025
E12000001,North East,region,06/02/2022,1870,13,239,728
E12000001,North East,region,05/02/2022,1635,13,425,1103
E12000001,North East,region,04/02/2022,2110,15,376,806
E12000001,North East,region,03/02/2022,2556,19,456,900
E12000001,North East,region,02/02/2022,2947,14,503,946
E12000001,North East,region,01/02/2022,3390,27,416,945
E12000001,North East,region,31/01/2022,3728,28,396,808
E12000001,North East,region,30/01/2022,3137,17,425,1175
E12000001,North East,region,29/01/2022,2311,17,491,1431
E12000001,North East,region,28/01/2022,2958,24,636,1263
E12000001,North East,region,27/01/2022,3689,17,563,994
E12000001,North East,region,26/01/2022,4361,22,641,1054
E12000001,North East,region,25/01/2022,4796,13,452,727
E12000001,North East,region,24/01/2022,5348,21,410,751
E12000001,North East,region,23/01/2022,4490,18,421,1300
E12000001,North East,region,22/01/2022,3571,27,688,1890
E12000001,North East,region,21/01/2022,4351,15,573,1246
E12000001,North East,region,20/01/2022,4979,20,737,1256
E12000001,North East,region,19/01/2022,5807,16,659,936
E12000001,North East,region,18/01/2022,6317,19,631,869
E12000001,North East,region,17/01/2022,7272,13,534,859
E12000001,North East,region,16/01/2022,5549,20,722,1133
E12000001,North East,region,15/01/2022,4514,11,853,1383
E12000001,North East,region,14/01/2022,5229,18,828,1017
E12000001,North East,region,13/01/2022,5805,10,816,1084
E12000001,North East,region,12/01/2022,6533,23,645,1123
E12000001,North East,region,11/01/2022,7490,12,569,863
E12000001,North East,region,10/01/2022,8437,12,557,862
E12000001,North East,region,09/01/2022,6138,9,817,1215
E12000001,North East,region,08/01/2022,5986,9,1203,1727
E12000001,North East,region,07/01/2022,8552,7,936,1344
E12000001,North East,region,06/01/2022,11565,11,954,1142
E12000001,North East,region,05/01/2022,14771,10,930,1284
E12000001,North East,region,04/01/2022,17129,7,830,1336
E12000001,North East,region,03/01/2022,13569,9,653,1069
E12000001,North East,region,02/01/2022,9516,2,828,1381
E12000001,North East,region,01/01/2022,6250,7,53,82
E12000001,North East,region,31/12/2021,9700,6,375,620
E12000001,North East,region,30/12/2021,10875,9,1282,2051
E12000001,North East,region,29/12/2021,11217,3,1198,1865
E12000001,North East,region,28/12/2021,7866,6,911,1383
E12000001,North East,region,27/12/2021,6167,5,423,677
E12000001,North East,region,26/12/2021,4080,4,47,84
E12000001,North East,region,25/12/2021,2180,4,2,7
E12000001,North East,region,24/12/2021,4101,2,256,503
E12000001,North East,region,23/12/2021,4450,7,967,1603
E12000001,North East,region,22/12/2021,4180,7,1055,2028
E12000001,North East,region,21/12/2021,3365,11,960,1947
E12000001,North East,region,20/12/2021,2891,5,1170,1711
E12000001,North East,region,19/12/2021,1879,6,1204,1802
E12000001,North East,region,18/12/2021,1756,7,1275,1589
E12000001,North East,region,17/12/2021,1871,4,827,1751
E12000001,North East,region,16/12/2021,1982,5,1270,1718
E12000001,North East,region,15/12/2021,2197,5,1005,1720
E12000001,North East,region,14/12/2021,2063,3,1025,1101
E12000001,North East,region,13/12/2021,2065,6,763,1153
E12000001,North East,region,12/12/2021,1382,5,891,1451
E12000001,North East,region,11/12/2021,1252,6,898,1440
E12000001,North East,region,10/12/2021,1372,6,830,1604
E12000001,North East,region,09/12/2021,1642,7,827,1382
E12000001,North East,region,08/12/2021,1740,3,830,1387
E12000001,North East,region,07/12/2021,1524,5,715,891
E12000001,North East,region,06/12/2021,1781,5,704,1057
E12000001,North East,region,05/12/2021,1250,5,585,891
E12000001,North East,region,04/12/2021,1148,6,814,1340
E12000001,North East,region,03/12/2021,1355,5,610,1220
E12000001,North East,region,02/12/2021,1520,6,787,1069
E12000001,North East,region,01/12/2021,1733,12,1034,1063
E12000001,North East,region,30/11/2021,1767,4,621,931
E12000001,North East,region,29/11/2021,1805,2,662,956
E12000001,North East,region,28/11/2021,1468,3,464,712
