areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000001,North East,region,30/01/2022,1122
E12000001,North East,region,29/01/2022,1465
E12000001,North East,region,28/01/2022,1831
E12000001,North East,region,27/01/2022,1896
E12000001,North East,region,26/01/2022,1940
E12000001,North East,region,25/01/2022,1649
E12000001,North East,region,24/01/2022,1373
E12000001,North East,region,23/01/2022,1363
E12000001,North East,region,22/01/2022,2069
E12000001,North East,region,21/01/2022,2155
E12000001,North East,region,20/01/2022,2297
E12000001,North East,region,19/01/2022,2210
E12000001,North East,region,18/01/2022,2002
E12000001,North East,region,17/01/2022,1900
E12000001,North East,region,16/01/2022,2037
E12000001,North East,region,15/01/2022,2700
E12000001,North East,region,14/01/2022,3802
E12000001,North East,region,13/01/2022,3800
E12000001,North East,region,12/01/2022,4539
E12000001,North East,region,11/01/2022,3783
E12000001,North East,region,10/01/2022,4507
E12000001,North East,region,09/01/2022,4438
E12000001,North East,region,08/01/2022,9358
E12000001,North East,region,07/01/2022,8296
E12000001,North East,region,06/01/2022,9143
E12000001,North East,region,05/01/2022,10860
E12000001,North East,region,04/01/2022,8381
E12000001,North East,region,03/01/2022,6141
E12000001,North East,region,02/01/2022,6922
E12000001,North East,region,01/01/2022,453
E12000001,North East,region,31/12/2021,5224
E12000001,North East,region,30/12/2021,16454
E12000001,North East,region,29/12/2021,15967
E12000001,North East,region,28/12/2021,15253
E12000001,North East,region,27/12/2021,8143
E12000001,North East,region,26/12/2021,579
E12000001,North East,region,25/12/2021,12
E12000001,North East,region,24/12/2021,5040
E12000001,North East,region,23/12/2021,22917
E12000001,North East,region,22/12/2021,33607
E12000001,North East,region,21/12/2021,35513
E12000001,North East,region,20/12/2021,34122
E12000001,North East,region,19/12/2021,33247
E12000001,North East,region,18/12/2021,30233
E12000001,North East,region,17/12/2021,29374
E12000001,North East,region,16/12/2021,36991
E12000001,North East,region,15/12/2021,29261
E12000001,North East,region,14/12/2021,25092
E12000001,North East,region,13/12/2021,17770
E12000001,North East,region,12/12/2021,18675
E12000001,North East,region,11/12/2021,20678
E12000001,North East,region,10/12/2021,18322
E12000001,North East,region,09/12/2021,20626
E12000001,North East,region,08/12/2021,17567
E12000001,North East,region,07/12/2021,13097
E12000001,North East,region,06/12/2021,12647
E12000001,North East,region,05/12/2021,12156
E12000001,North East,region,04/12/2021,19906
E12000001,North East,region,03/12/2021,16375
E12000001,North East,region,02/12/2021,19430
E12000001,North East,region,01/12/2021,15652
E12000001,North East,region,30/11/2021,14955
